"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","51","test_get_users[1-name-george]","tests.api","Tue Jan 14 18:20:32 GMT 2025","failed","Tue Jan 14 18:20:32 GMT 2025","","test_users_api","",""
"","78","get resource list","tests.api","Tue Jan 14 18:20:31 GMT 2025","passed","Tue Jan 14 18:20:31 GMT 2025","","test_resources_api","",""
"","244","Success login from UI","tests.ui","Tue Jan 14 18:20:39 GMT 2025","passed","Tue Jan 14 18:20:40 GMT 2025","","test_login","",""
"","32","test_get_users[1-email-george.bluth@reqres.in]","tests.api","Tue Jan 14 18:20:32 GMT 2025","passed","Tue Jan 14 18:20:32 GMT 2025","","test_users_api","",""
"","189","Login failures including relevant error validation","tests.ui","Tue Jan 14 18:20:48 GMT 2025","passed","Tue Jan 14 18:20:49 GMT 2025","","test_login","",""
"","253","Success login from UI","tests.ui","Tue Jan 14 18:20:48 GMT 2025","failed","Tue Jan 14 18:20:48 GMT 2025","","test_login","",""
"","20","get resource by ID","tests.api","Tue Jan 14 18:20:31 GMT 2025","failed","Tue Jan 14 18:20:31 GMT 2025","","test_resources_api","",""
"","18","get resource by ID","tests.api","Tue Jan 14 18:20:31 GMT 2025","passed","Tue Jan 14 18:20:31 GMT 2025","","test_resources_api","",""
"","76","test_get_users_list","tests.api","Tue Jan 14 18:20:32 GMT 2025","passed","Tue Jan 14 18:20:32 GMT 2025","","test_users_api","",""
"","163","Login failures tests including relevant errors","tests.api","Tue Jan 14 18:20:30 GMT 2025","passed","Tue Jan 14 18:20:31 GMT 2025","","test_login_api","",""
"","185","Login failures including relevant error validation","tests.ui","Tue Jan 14 18:20:51 GMT 2025","passed","Tue Jan 14 18:20:51 GMT 2025","","test_login","",""
"","27","get resource by ID","tests.api","Tue Jan 14 18:20:31 GMT 2025","passed","Tue Jan 14 18:20:31 GMT 2025","","test_resources_api","",""
"","186","Login failures including relevant error validation","tests.ui","Tue Jan 14 18:20:50 GMT 2025","passed","Tue Jan 14 18:20:50 GMT 2025","","test_login","",""
"","1387","remove item from cart full flow","tests.ui","Tue Jan 14 18:20:37 GMT 2025","passed","Tue Jan 14 18:20:38 GMT 2025","","test_e2e","",""
"","180","Registration failures with relevant code reason on response","tests.api","Tue Jan 14 18:20:31 GMT 2025","passed","Tue Jan 14 18:20:31 GMT 2025","","test_register_api","",""
"","30","get resource by ID","tests.api","Tue Jan 14 18:20:31 GMT 2025","passed","Tue Jan 14 18:20:31 GMT 2025","","test_resources_api","",""
"","26","get resource by ID","tests.api","Tue Jan 14 18:20:31 GMT 2025","passed","Tue Jan 14 18:20:31 GMT 2025","","test_resources_api","",""
"","1476","E2E flow - purchase from UI test","tests.ui","Tue Jan 14 18:20:34 GMT 2025","passed","Tue Jan 14 18:20:36 GMT 2025","","test_e2e","",""
"","182","user deletion api test","tests.api","Tue Jan 14 18:20:33 GMT 2025","passed","Tue Jan 14 18:20:33 GMT 2025","","test_users_api","",""
"","253","Success login from UI","tests.ui","Tue Jan 14 18:20:46 GMT 2025","passed","Tue Jan 14 18:20:46 GMT 2025","","test_login","",""
"","50","test_get_users[2-first_name-Janet]","tests.api","Tue Jan 14 18:20:32 GMT 2025","passed","Tue Jan 14 18:20:32 GMT 2025","","test_users_api","",""
"","172","successful registration including json validation","tests.api","Tue Jan 14 18:20:31 GMT 2025","passed","Tue Jan 14 18:20:31 GMT 2025","","test_register_api","",""
"","22","test_get_users[9-avatar-https://reqres.in/img/faces/9-image.jpg]","tests.api","Tue Jan 14 18:20:32 GMT 2025","passed","Tue Jan 14 18:20:32 GMT 2025","","test_users_api","",""
"","260","Success login from UI","tests.ui","Tue Jan 14 18:20:47 GMT 2025","passed","Tue Jan 14 18:20:47 GMT 2025","","test_login","",""
"","171","user update api test","tests.api","Tue Jan 14 18:20:32 GMT 2025","passed","Tue Jan 14 18:20:33 GMT 2025","","test_users_api","",""
"","35","get resource by ID","tests.api","Tue Jan 14 18:20:31 GMT 2025","failed","Tue Jan 14 18:20:31 GMT 2025","","test_resources_api","",""
"","207","test_get_users_not_found","tests.api","Tue Jan 14 18:20:32 GMT 2025","passed","Tue Jan 14 18:20:32 GMT 2025","","test_users_api","",""
"","231","user creation api test","tests.api","Tue Jan 14 18:20:32 GMT 2025","passed","Tue Jan 14 18:20:32 GMT 2025","","test_users_api","",""
"","173","successful login test","tests.api","Tue Jan 14 18:20:30 GMT 2025","passed","Tue Jan 14 18:20:30 GMT 2025","","test_login_api","",""
"","24","test_get_users[8-last_name-bla]","tests.api","Tue Jan 14 18:20:32 GMT 2025","failed","Tue Jan 14 18:20:32 GMT 2025","","test_users_api","",""
"","193","Login failures including relevant error validation","tests.ui","Tue Jan 14 18:20:49 GMT 2025","passed","Tue Jan 14 18:20:49 GMT 2025","","test_login","",""
"","237","Success login from UI","tests.ui","Tue Jan 14 18:20:39 GMT 2025","passed","Tue Jan 14 18:20:39 GMT 2025","","test_login","",""
