"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","284","Login failures tests including relevant errors","tests.api","Tue Jan 14 13:46:34 GMT 2025","passed","Tue Jan 14 13:46:35 GMT 2025","","test_login_api","",""
"","304","successful registration including json validation","tests.api","Tue Jan 14 13:46:35 GMT 2025","passed","Tue Jan 14 13:46:35 GMT 2025","","test_register_api","",""
"","212","Login failures including relevant error validation","tests.ui","Tue Jan 14 13:46:55 GMT 2025","passed","Tue Jan 14 13:46:56 GMT 2025","","test_login","",""
"","219","Success login from UI","tests.ui","Tue Jan 14 13:46:53 GMT 2025","failed","Tue Jan 14 13:46:53 GMT 2025","","test_login","",""
"","1455","E2E flow - purchase from UI test","tests.ui","Tue Jan 14 13:46:40 GMT 2025","passed","Tue Jan 14 13:46:42 GMT 2025","","test_e2e","",""
"","289","user update api test","tests.api","Tue Jan 14 13:46:39 GMT 2025","passed","Tue Jan 14 13:46:39 GMT 2025","","test_users_api","",""
"","217","Login failures including relevant error validation","tests.ui","Tue Jan 14 13:46:54 GMT 2025","passed","Tue Jan 14 13:46:54 GMT 2025","","test_login","",""
"","21","test_get_users[2-first_name-Janet]","tests.api","Tue Jan 14 13:46:38 GMT 2025","passed","Tue Jan 14 13:46:38 GMT 2025","","test_users_api","",""
"","289","test_get_users[8-last_name-bla]","tests.api","Tue Jan 14 13:46:38 GMT 2025","failed","Tue Jan 14 13:46:38 GMT 2025","","test_users_api","",""
"","289","Login failures tests including relevant errors","tests.api","Tue Jan 14 13:46:34 GMT 2025","passed","Tue Jan 14 13:46:34 GMT 2025","","test_login_api","",""
"","289","test_get_users_not_found","tests.api","Tue Jan 14 13:46:38 GMT 2025","passed","Tue Jan 14 13:46:39 GMT 2025","","test_users_api","",""
"","301","get resource by ID","tests.api","Tue Jan 14 13:46:36 GMT 2025","passed","Tue Jan 14 13:46:36 GMT 2025","","test_resources_api","",""
"","27","test_get_users[1-email-george.bluth@reqres.in]","tests.api","Tue Jan 14 13:46:38 GMT 2025","passed","Tue Jan 14 13:46:38 GMT 2025","","test_users_api","",""
"","320","Registration failures with relevant code reason on response","tests.api","Tue Jan 14 13:46:35 GMT 2025","passed","Tue Jan 14 13:46:36 GMT 2025","","test_register_api","",""
"","5232","Success login from UI","tests.ui","Tue Jan 14 13:46:46 GMT 2025","passed","Tue Jan 14 13:46:51 GMT 2025","","test_login","",""
"","259","Success login from UI","tests.ui","Tue Jan 14 13:46:52 GMT 2025","passed","Tue Jan 14 13:46:53 GMT 2025","","test_login","",""
