"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","247","Success login from UI","tests.ui","Tue Jan 14 17:48:40 GMT 2025","passed","Tue Jan 14 17:48:40 GMT 2025","","test_login","",""
"","190","successful registration including json validation","tests.api","Tue Jan 14 17:48:21 GMT 2025","passed","Tue Jan 14 17:48:22 GMT 2025","","test_register_api","",""
"","214","Registration failures with relevant code reason on response","tests.api","Tue Jan 14 17:48:22 GMT 2025","passed","Tue Jan 14 17:48:22 GMT 2025","","test_register_api","",""
"","5231","Success login from UI","tests.ui","Tue Jan 14 17:48:33 GMT 2025","passed","Tue Jan 14 17:48:38 GMT 2025","","test_login","",""
"","192","Login failures tests including relevant errors","tests.api","Tue Jan 14 17:48:21 GMT 2025","passed","Tue Jan 14 17:48:21 GMT 2025","","test_login_api","",""
"","189","test_get_users_not_found","tests.api","Tue Jan 14 17:48:24 GMT 2025","passed","Tue Jan 14 17:48:24 GMT 2025","","test_users_api","",""
"","205","get resource by ID","tests.api","Tue Jan 14 17:48:22 GMT 2025","passed","Tue Jan 14 17:48:22 GMT 2025","","test_resources_api","",""
"","109","test_get_users_list","tests.api","Tue Jan 14 17:48:24 GMT 2025","passed","Tue Jan 14 17:48:24 GMT 2025","","test_users_api","",""
"","240","Success login from UI","tests.ui","Tue Jan 14 17:48:31 GMT 2025","passed","Tue Jan 14 17:48:32 GMT 2025","","test_login","",""
"","200","successful login test","tests.api","Tue Jan 14 17:48:21 GMT 2025","passed","Tue Jan 14 17:48:21 GMT 2025","","test_login_api","",""
"","51","test_get_users[2-first_name-Janet]","tests.api","Tue Jan 14 17:48:23 GMT 2025","passed","Tue Jan 14 17:48:23 GMT 2025","","test_users_api","",""
"","191","get resource by ID","tests.api","Tue Jan 14 17:48:22 GMT 2025","passed","Tue Jan 14 17:48:23 GMT 2025","","test_resources_api","",""
"","193","get resource by ID","tests.api","Tue Jan 14 17:48:23 GMT 2025","failed","Tue Jan 14 17:48:23 GMT 2025","","test_resources_api","",""
"","254","Success login from UI","tests.ui","Tue Jan 14 17:48:39 GMT 2025","passed","Tue Jan 14 17:48:39 GMT 2025","","test_login","",""
"","33","test_get_users[1-name-george]","tests.api","Tue Jan 14 17:48:24 GMT 2025","failed","Tue Jan 14 17:48:24 GMT 2025","","test_users_api","",""
"","184","Login failures including relevant error validation","tests.ui","Tue Jan 14 17:48:41 GMT 2025","passed","Tue Jan 14 17:48:41 GMT 2025","","test_login","",""
"","373","Registration failures with relevant code reason on response","tests.api","Tue Jan 14 17:48:22 GMT 2025","passed","Tue Jan 14 17:48:22 GMT 2025","","test_register_api","",""
"","46","test_get_users[1-email-george.bluth@reqres.in]","tests.api","Tue Jan 14 17:48:23 GMT 2025","passed","Tue Jan 14 17:48:23 GMT 2025","","test_users_api","",""
"","187","Login failures including relevant error validation","tests.ui","Tue Jan 14 17:48:42 GMT 2025","passed","Tue Jan 14 17:48:42 GMT 2025","","test_login","",""
"","33","get resource by ID","tests.api","Tue Jan 14 17:48:22 GMT 2025","passed","Tue Jan 14 17:48:22 GMT 2025","","test_resources_api","",""
"","151","get resource list","tests.api","Tue Jan 14 17:48:23 GMT 2025","passed","Tue Jan 14 17:48:23 GMT 2025","","test_resources_api","",""
"","185","Login failures tests including relevant errors","tests.api","Tue Jan 14 17:48:21 GMT 2025","passed","Tue Jan 14 17:48:21 GMT 2025","","test_login_api","",""
"","195","user creation api test","tests.api","Tue Jan 14 17:48:24 GMT 2025","passed","Tue Jan 14 17:48:24 GMT 2025","","test_users_api","",""
